TIMESTAMP,RECORD,BattV,calibrated_wind_speed
2025-01-28 09:06:00,23796.0,12.66,8.08
2025-01-28 09:07:00,23797.0,12.67,7.684
2025-01-28 09:08:00,23798.0,12.66,7.583
2025-01-28 09:09:00,23799.0,12.66,7.398
2025-01-28 09:10:00,23800.0,12.66,7.065
2025-01-28 09:11:00,23801.0,12.66,6.515
2025-01-28 09:12:00,23802.0,12.67,7.189
2025-01-28 09:13:00,23803.0,12.66,6.704
2025-01-28 09:14:00,23804.0,12.66,6.802
2025-01-28 09:15:00,23805.0,12.66,7.704
2025-01-28 09:16:00,23806.0,12.66,8.540000000000001
2025-01-28 09:17:00,23807.0,12.66,7.232
2025-01-28 09:18:00,23808.0,12.66,8.540000000000001
2025-01-28 09:19:00,23809.0,12.66,7.8389999999999995
2025-01-28 09:20:00,23810.0,12.66,6.709
2025-01-28 09:21:00,23811.0,12.66,7.065
2025-01-28 09:22:00,23812.0,12.66,7.039
2025-01-28 09:23:00,23813.0,12.66,8.47
2025-01-28 09:24:00,23814.0,12.66,7.176
2025-01-28 09:25:00,23815.0,12.66,6.693
2025-01-28 09:26:00,23816.0,12.66,7.037
2025-01-28 09:27:00,23817.0,12.66,7.578
2025-01-28 09:28:00,23818.0,12.66,7.117
2025-01-28 09:29:00,23819.0,12.66,7.78
2025-01-28 09:30:00,23820.0,12.66,6.372
2025-01-28 09:31:00,23821.0,12.66,6.497
2025-01-28 09:32:00,23822.0,12.66,7.086
2025-01-28 09:33:00,23823.0,12.66,8.030000000000001
2025-01-28 09:34:00,23824.0,12.66,7.96
2025-01-28 09:35:00,23825.0,12.66,7.099
2025-01-28 09:36:00,23826.0,12.66,7.289
2025-01-28 09:37:00,23827.0,12.66,6.753
2025-01-28 09:38:00,23828.0,12.66,9.040000000000001
2025-01-28 09:39:00,23829.0,12.66,8.57
2025-01-28 09:40:00,23830.0,12.66,8.260000000000002
2025-01-28 09:41:00,23831.0,12.66,8.65
2025-01-28 09:42:00,23832.0,12.66,8.66
2025-01-28 09:43:00,23833.0,12.66,7.599
2025-01-28 09:44:00,23834.0,12.66,7.357
2025-01-28 09:45:00,23835.0,12.66,8.950000000000001
2025-01-28 09:46:00,23836.0,12.66,8.49
2025-01-28 09:47:00,23837.0,12.66,7.509
2025-01-28 09:48:00,23838.0,12.66,7.073
2025-01-28 09:49:00,23839.0,12.66,8.170000000000002
2025-01-28 09:50:00,23840.0,12.66,7.764
2025-01-28 09:51:00,23841.0,12.66,7.867
2025-01-28 09:52:00,23842.0,12.66,8.680000000000001
2025-01-28 09:53:00,23843.0,12.66,7.96
2025-01-28 09:54:00,23844.0,12.66,7.501
2025-01-28 09:55:00,23845.0,12.66,5.998
2025-01-28 09:56:00,23846.0,12.66,7.606
2025-01-28 09:57:00,23847.0,12.66,6.877
2025-01-28 09:58:00,23848.0,12.66,7.184
2025-01-28 09:59:00,23849.0,12.66,6.551
2025-01-28 10:00:00,23850.0,12.66,7.398
2025-01-28 10:01:00,23851.0,12.66,7.178
2025-01-28 10:02:00,23852.0,12.66,7.302
2025-01-28 10:03:00,23853.0,12.66,8.600000000000001
2025-01-28 10:04:00,23854.0,12.66,7.692
2025-01-28 10:05:00,23855.0,12.66,8.48
2025-01-28 10:06:00,23856.0,12.66,8.65
2025-01-28 10:07:00,23857.0,12.66,8.840000000000002
2025-01-28 10:08:00,23858.0,12.66,7.163
2025-01-28 10:09:00,23859.0,12.66,9.170000000000002
2025-01-28 10:10:00,23860.0,12.66,10.23
2025-01-28 10:11:00,23861.0,12.66,9.450000000000001
2025-01-28 10:12:00,23862.0,12.66,8.46
2025-01-28 10:13:00,23863.0,12.66,7.297
